final ID;Store;description;price;size;sex;img_url;shop_sales;number_in_stock
1,10253E+14;ARMEDANGELS;"Lida Balloon weiss XS"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in TürkeiT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;XS;Female;https://www.armedangels.de/media/catalog/product/1/0/10253235_18810253235-188.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-lida-balloon-10253235-188.html417=3360?redirection=no;
1,10253E+14;ARMEDANGELS;"Lida Balloon weiss XL"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in TürkeiT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253235_18810253235-188.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-lida-balloon-10253235-188.html417=3364?redirection=no;
1,10254E+14;ARMEDANGELS;"Akin ARMEDANGELS grau M"";""mit Fit für Herren aus 100% Baumwolle (bio) in M. Fair produziert in Türkeimit Fit für Herren aus 100% Baumwolle (bio) in M. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";69,9;M;Male;https://www.armedangels.de/media/catalog/product/1/0/10253502_13910253502-139.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/akin-armedangels-35032.html410=3111?redirection=no;
1,10253E+14;ARMEDANGELS;"Philomena ARMEDANGELS grau L"";""mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in Litauenmit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in Litauenaus nachhaltigen Materialien und GOTS zertifiziert.""";69,9;L;Female;https://www.armedangels.de/media/catalog/product/1/0/10253486_13910253486-139.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/philomena-armedangels-35023.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Lida Balloon weiss S"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in TürkeiT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;S;Female;https://www.armedangels.de/media/catalog/product/1/0/10253235_18810253235-188.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-lida-balloon-10253235-188.html417=3361?redirection=no;
1,10253E+14;ARMEDANGELS;"Lida Balloon weiss M"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in TürkeiT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;M;Female;https://www.armedangels.de/media/catalog/product/1/0/10253235_18810253235-188.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-lida-balloon-10253235-188.html417=3362?redirection=no;
1,10253E+14;ARMEDANGELS;"Lin blau XL"";""Bandeau Top aus Bio-Baumwoll Mix mit Fit für Frauen aus 96% Baumwolle (bio)Bandeau Top aus Bio-Baumwoll Mix mit Fit für Frauen aus 96% Baumwolle (bio)4% Elasthan in XL. Fair produziert in Portugal aus nachhaltigen Materialien und GOTS zertifiziert.""";14,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253492_53010253492-530.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-bustier-solid-lin-10253492-530.html417=3364?redirection=no;
1,10253E+14;ARMEDANGELS;"Linda rot L"";""Top aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in PortugalTop aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";34,9;L;Female;https://www.armedangels.de/media/catalog/product/1/0/10253234_43010253234-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-top-solid-linda-10253234-430.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Linda rot XS"";""Top aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in PortugalTop aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";34,9;XS;Female;https://www.armedangels.de/media/catalog/product/1/0/10253234_43010253234-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-top-solid-linda-10253234-430.html417=3360?redirection=no;
1,10253E+14;ARMEDANGELS;"Linda rot XL"";""Top aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in PortugalTop aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";34,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253234_43010253234-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-top-solid-linda-10253234-430.html417=3364?redirection=no;
